ref_area,time,obs_value,Country,Column 1,Column 1.1,Column 1.2,,,,,Country_C 
AFG,2019,16.8,Afghanistan,,,,,,Afghanistan,Austria,#N/A
ALB,2017,36.8,Albania,,,,,,Albania,Canada,#N/A
ARG,2014,27.7,Argentina,,,,,,Argentina,Canada,#N/A
ARM,2019,20.5,Armenia,,,,,,Armenia,China,#N/A
AUS,2018,13.7,Australia,,,,,,Australia,China,#N/A
AUT,2019,26.2,Austria,,,,,,Austria,China,Austria
AZE,2010,53.1,Azerbaijan,,,,,,Azerbaijan,China,#N/A
BHR,2019,2.6,Bahrain,,,,,,Bahrain,France,#N/A
BGD,2018,11.9,Bangladesh,,,,,,Bangladesh,France,#N/A
BRB,2018,14.6,Barbados,,,,,,Barbados,France,#N/A
BLR,2016,56.1,Belarus,,,,,,Belarus,France,#N/A
BEL,2019,49.1,Belgium,,,,,,Belgium,France,#N/A
BLZ,2019,7.4,Belize,,,,,,Belize,France,#N/A
BEN,2019,31.8,Benin,,,,,,Benin,France,#N/A
BMU,2018,21.9,Bermuda,,,,,,Bermuda,France,#N/A
BOL,2019,12,Bolivia,,,,,,Bolivia,Germany,#N/A
BIH,2012,30,Bosnia and Herzegovina,,,,,,Bosnia and Herzegovina,Germany,#N/A
BWA,2020,30,Botswana,,,,,,Botswana,Germany,#N/A
BRA,2019,13,Brazil,,,,,,Brazil,Germany,#N/A
BGR,2016,13.7,Bulgaria,,,,,,Bulgaria,Germany,#N/A
BFA,2018,9.8,Burkina Faso,,,,,,Burkina Faso,Germany,#N/A
BDI,2014,5.6,Burundi,,,,,,Burundi,Germany,#N/A
CIV,2017,10.6,C̫te d'Ivoire,,,,,,C̫te d'Ivoire,Germany,#N/A
KHM,2012,9.6,Cambodia,,,,,,Cambodia,Germany,#N/A
CMR,2014,5,Cameroon,,,,,,Cameroon,Germany,#N/A
CAN,2020,29.4,Canada,,,,,,Canada,Germany,Canada
CPV,2015,20.9,Cape Verde,,,,,,Cape Verde,Germany,#N/A
CAF,2008,21.9,Central African Republic,,,,,,Central African Republic,Germany,#N/A
TCD,2018,32.8,Chad,,,,,,Chad,Germany,#N/A
CHL,2018,17.1,Chile,,,,,,Chile,Germany,#N/A
CHN,2017,44.2,China,,,,,,China,Germany,China
COL,2019,4.7,Colombia,,,,,,Colombia,Germany,#N/A
COM,2014,13.4,Comoros,,,,,,Comoros,India,#N/A
COD,2012,13.6,"Congo, Democratic Republic of the",,,,,,"Congo, Democratic Republic of the",Italy,#N/A
CRI,2019,20.5,Costa Rica,,,,,,Costa Rica,Italy,#N/A
HRV,2018,20.8,Croatia,,,,,,Croatia,Italy,#N/A
CUB,2008,81.4,Cuba,,,,,,Cuba,Italy,#N/A
CUW,2018,23.5,Cura̤ao,,,,,,Cura̤ao,Italy,#N/A
CYP,2016,43.3,Cyprus,,,,,,Cyprus,Italy,#N/A
CZE,2018,11.4,Czechia,,,,,,Czechia,Japan,#N/A
DNK,2019,67,Denmark,,,,,,Denmark,Japan,#N/A
DOM,2019,7.5,Dominican Republic,,,,,,Dominican Republic,Japan,#N/A
ECU,2008,4.9,Ecuador,,,,,,Ecuador,Japan,#N/A
EGY,2010,23.8,Egypt,,,,,,Egypt,Japan,#N/A
SLV,2018,8.7,El Salvador,,,,,,El Salvador,Netherlands,#N/A
ERI,2008,3.6,Eritrea,,,,,,Eritrea,Netherlands,#N/A
EST,2019,6,Estonia,,,,,,Estonia,Netherlands,#N/A
SWZ,2016,23.9,Eswatini,,,,,,Eswatini,Saudi Arabia,#N/A
ETH,2019,9.4,Ethiopia,,,,,,Ethiopia,Singapore,#N/A
FJI,2016,13.2,Fiji,,,,,,Fiji,South Kore,#N/A
FIN,2019,58.8,Finland,,,,,,Finland,South Korea,#N/A
FRA,2018,8.9,France,,,,,,France,South Korea,France
GAB,2008,18.2,Gabon,,,,,,Gabon,South Korea,#N/A
GMB,2018,13.9,Gambia,,,,,,Gambia,Sweden,#N/A
GEO,2019,17.9,Georgia,,,,,,Georgia,Switzerland,#N/A
DEU,2019,16.3,Germany,,,,,,Germany,Switzerland,Germany
GHA,2019,16.8,Ghana,,,,,,Ghana,Switzerland,#N/A
GRC,2016,19,Greece,,,,,,Greece,United Arab Emirates,#N/A
GTM,2019,3.1,Guatemala,,,,,,Guatemala,United Kingdom,#N/A
GIN,2018,12.3,Guinea,,,,,,Guinea,United Kingdom,#N/A
GUY,2018,14,Guyana,,,,,,Guyana,United States,#N/A
HTI,2012,1.7,Haiti,,,,,,Haiti,United States,#N/A
HND,2017,2.6,Honduras,,,,,,Honduras,United States,#N/A
HKG,2016,26.1,"Hong Kong, China",,,,,,"Hong Kong, China",United States,#N/A
HUN,2019,8.7,Hungary,,,,,,Hungary,United States,#N/A
ISL,2019,91.4,Iceland,,,,,,Iceland,United States,#N/A
IND,2017,19.8,India,,,,,,India,United States,India
IDN,2019,13,Indonesia,,,,,,Indonesia,United States,#N/A
IRL,2020,25.4,Ireland,,,,,,Ireland,United States,#N/A
ISR,2017,25.1,Israel,,,,,,Israel,United States,#N/A
ITA,2019,32.5,Italy,,,,,,Italy,United States,Italy
JPN,2019,16.8,Japan,,,,,,Japan,United States,Japan
JOR,2018,7,Jordan,,,,,,Jordan,United States,#N/A
KAZ,2017,46.9,Kazakhstan,,,,,,Kazakhstan,United States,#N/A
KEN,2019,9.7,Kenya,,,,,,Kenya,United States,#N/A
KOR,2020,12.4,South Korea,,,,,,South Korea,United States,South Korea
KSV,2017,12.1,Kosovo,,,,,,Kosovo,United States,#N/A
KWT,2008,2.7,Kuwait,,,,,,Kuwait,United States,#N/A
LAO,2010,15.5,Lao People's Democratic Republic,,,,,,Lao People's Democratic Republic,United States,#N/A
LVA,2019,10.6,Latvia,,,,,,Latvia,United States,#N/A
LBN,2007,11.5,Lebanon,,,,,,Lebanon,United States,#N/A
LSO,2019,4.8,Lesotho,,,,,,Lesotho,United States,#N/A
LBR,2010,20.1,Liberia,,,,,,Liberia,United States,#N/A
LTU,2019,7.4,Lithuania,,,,,,Lithuania,United States,#N/A
LUX,2019,28.2,Luxembourg,,,,,,Luxembourg,United States,#N/A
MDG,2015,7.2,Madagascar,,,,,,Madagascar,United States,#N/A
MWI,2013,8.9,Malawi,,,,,,Malawi,United States,#N/A
MYS,2018,8.7,Malaysia,,,,,,Malaysia,United States,#N/A
MLI,2018,7.5,Mali,,,,,,Mali,United States,#N/A
MLT,2020,41.9,Malta,,,,,,Malta,United States,#N/A
MRT,2012,10.4,Mauritania,,,,,,Mauritania,United States,#N/A
MUS,2018,27.7,Mauritius,,,,,,Mauritius,United States,#N/A
MEX,2020,13.2,Mexico,,,,,,Mexico,United States,#N/A
MDA,2019,18.6,"Moldova, Republic of",,,,,,"Moldova, Republic of",United States,#N/A
MNG,2019,30.8,Mongolia,,,,,,Mongolia,United States,#N/A
MNE,2012,25.8,Montenegro,,,,,,Montenegro,United States,#N/A
MAR,2019,10.9,Morocco,,,,,,Morocco,United States,#N/A
MOZ,2016,12.5,Mozambique,,,,,,Mozambique,United States,#N/A
MMR,2015,1,Myanmar,,,,,,Myanmar,United States,#N/A
NAM,2018,18.3,Namibia,,,,,,Namibia,United States,#N/A
NPL,2018,30.2,Nepal,,,,,,Nepal,,#N/A
NLD,2019,15.4,Netherlands,,,,,,Netherlands,,Netherlands
NZL,2020,18.9,New Zealand,,,,,,New Zealand,,#N/A
NIC,2010,5.3,Nicaragua,,,,,,Nicaragua,,#N/A
NER,2012,27,Niger,,,,,,Niger,,#N/A
NGA,2008,9.9,Nigeria,,,,,,Nigeria,,#N/A
MKD,2019,16.7,North Macedonia,,,,,,North Macedonia,,#N/A
NOR,2019,50.4,Norway,,,,,,Norway,,#N/A
PSE,2019,21.3,Occupied Palestinian Territory,,,,,,Occupied Palestinian Territory,,#N/A
PAK,2016,4.7,Pakistan,,,,,,Pakistan,,#N/A
PAN,2019,26.3,Panama,,,,,,Panama,,#N/A
PRY,2019,6.9,Paraguay,,,,,,Paraguay,,#N/A
PER,2018,2.3,Peru,,,,,,Peru,,#N/A
PHL,2020,8.5,Philippines,,,,,,Philippines,,#N/A
POL,2018,12.7,Poland,,,,,,Poland,,#N/A
PRT,2016,15.3,Portugal,,,,,,Portugal,,#N/A
ROU,2018,21.4,Romania,,,,,,Romania,,#N/A
RUS,2017,27.5,Russian Federation,,,,,,Russian Federation,,#N/A
RWA,2019,5.9,Rwanda,,,,,,Rwanda,,#N/A
VCT,2010,4.9,Saint Vincent and the Grenadines,,,,,,Saint Vincent and the Grenadines,,#N/A
WSM,2014,11.8,Samoa,,,,,,Samoa,,#N/A
SEN,2019,7.4,Senegal,,,,,,Senegal,,#N/A
SRB,2010,33.3,Serbia,,,,,,Serbia,,#N/A
SYC,2011,2,Seychelles,,,,,,Seychelles,,#N/A
SLE,2014,23.7,Sierra Leone,,,,,,Sierra Leone,,#N/A
SGP,2019,22.2,Singapore,,,,,,Singapore,,Singapore
SVK,2019,11.1,Slovakia,,,,,,Slovakia,,#N/A
SVN,2016,26.9,Slovenia,,,,,,Slovenia,,#N/A
SOM,2019,11.8,Somalia,,,,,,Somalia,,#N/A
ZAF,2019,29.1,South Africa,,,,,,South Africa,,#N/A
ESP,2019,12.4,Spain,,,,,,Spain,,#N/A
LKA,2019,10.1,Sri Lanka,,,,,,Sri Lanka,,#N/A
LCA,2008,1.8,St Lucia,,,,,,St Lucia,,#N/A
SDN,2011,30.4,Sudan,,,,,,Sudan,,#N/A
SWE,2019,65.2,Sweden,,,,,,Sweden,,Sweden
CHE,2018,14.4,Switzerland,,,,,,Switzerland,,Switzerland
SYR,2007,36,Syrian Arab Rep,,,,,,Syrian Arab Rep,,#N/A
TWN,2017,32.2,"Taiwan, China",,,,,,"Taiwan, China",,#N/A
TZA,2015,24.3,"Tanzania, United Republic of",,,,,,"Tanzania, United Republic of",,#N/A
THA,2019,3.3,Thailand,,,,,,Thailand,,#N/A
TGO,2019,23.8,Togo,,,,,,Togo,,#N/A
TTO,2013,19.8,Trinidad and Tobago,,,,,,Trinidad and Tobago,,#N/A
TUN,2019,38.1,Tunisia,,,,,,Tunisia,,#N/A
TUR,2019,9.9,Turkey,,,,,,Turkey,,#N/A
UGA,2017,10.3,Uganda,,,,,,Uganda,,#N/A
UKR,2019,36.6,Ukraine,,,,,,Ukraine,,#N/A
GBR,2019,23.4,United Kingdom,,,,,,United Kingdom,,United Kingdom
USA,2020,10.3,United States,,,,,,United States,,United States
URY,2013,30.1,Uruguay,,,,,,Uruguay,,#N/A
VEN,2012,0.2,"Venezuela, Bolivarian Republic of",,,,,,"Venezuela, Bolivarian Republic of",,#N/A
VNM,2018,49.6,Viet Nam,,,,,,Viet Nam,,#N/A
ZMB,2019,23.9,Zambia,,,,,,Zambia,,#N/A
